BAJAJ-AUTO,BAJAJ-FINSV,BAJAJ-FINANCE
1398.75,516.55,715.9
1419.65,516.4,700
1437.8,533.45,704.4
1452.55,546,708.4
1474.4,537.95,711.25
1465,540.45,705.75
1477.7,536.95,704.5
1485.6,540,708
1474.45,548.25,708.6
1477.7,528.5,699.5
1474,521.6,691.2
1440.55,506.3,652.25
1367.15,495.85,637.65
1303.35,483.55,621.4
1285.9,485.7,625.8
1319,488.45,640.4
1295.9,487.8,636
1310.85,488.7,631.2
1319.25,484.3,641.55
1308.45,482,641.05
1336.6,495.95,638.25
1299.65,496.8,624.15
1310.15,521.55,633.7
1287.4,506.35,622.5
1292.9,495.8,619.65
1330.8,484.05,608.25
1305.05,490.5,601.2
1311.55,485.95,595.05
1290.25,484.7,595.4
1297.05,486.9,630.75
1316.5,493.7,613.55
1327.9,518.4,616.7
1344.5,521.05,631.85
1335.6,512.45,633.45
1368.5,508.4,625
1375.8,502.25,614
1361.7,545.5,619.15
1350.05,560.75,635.6
1330.9,564.2,631.1
1333.4,560.9,622.2
1324.85,550.65,624.95
1345.1,552.5,622.1
1373.65,548.15,601.7
1369.7,537.8,581.15
1344.95,534.3,583.7
1342.7,513.4,571.9
1311.8,497.95,578.35
1321.35,487.05,566.1
1342.45,484.55,569.9
1336.55,506.3,580.2
1387.75,522.25,597.9
1383.3,518.35,605.5
1420.1,518.05,616.4
1401.85,514.25,609.9
1407.1,515.25,620.8
1423.15,517.25,628.6
1424.45,519.95,618.6
1427.7,518.85,626.45
1437.25,526.05,640.4
1455.95,517.2,636.4
1459.8,514.2,639.4
1452.1,516.7,631.75
1425.85,539.65,684.95
1451.8,556.05,707.35
1430.7,547.3,717.5
1422.2,539.55,721.25
1416.9,551.3,738.3
1434.75,545.1,727.25
1424.55,535.1,711.8
1419.5,539.55,727.2
1448.55,540.8,725.45
1446.4,535.6,706
1425.75,544.25,705.15
1434.4,537.5,693
1448.35,535.7,700.65
1469.6,526.05,710.15
1486.4,523.15,711.9
1484.8,513.8,689
1454.65,510.4,682.15
1419.65,500.55,689.85
1398.55,498.1,678.15
1415.7,498.45,671
